"Produktname";"Hersteller";"Produktbeschreibung";"Kaufpreis_in_Euro";"Monatliche_Kosten";"Refinanzierungsmoglichkeit";"Vertrieb";"Zuletzt_aktualisiert";"Interoperabilitat";"SmartphoneTablett_erforderlich";"Stromversorgung";"Mobilitat";"Eigenstaendige_Loesung";"Oberthema";"Pflegeproblem";"Produktkategorie";"PrimeOberthema";"LPD_Schauraum";"id";"Produktform";"Internetzugang_erforderlich";"Vernetzung";"Gutesiegel";"Status"
"Yale Smart Alarm Smoke Sensor - Smarter Rauchmelder";"Yale";"Der Yale Rauchmelder alarmiert mit einer lauten Sirene bei Feuer und informiert über eine App in Echtzeit. Er kann allein oder vernetzt mit anderen Meldern genutzt werden und deckt mit einer Reichweite von bis zu 1 km auch größere Bereiche ab. Der Melder ist für den Innenbereich geeignet und lässt sich einfach in das Yale Smart Alarm System integrieren.";"51-100 €";"Nein";"";"Webshop";"2025-05-27";"";"Ja";"Batterien";"Verbaut/Montage erforderlich";"Nein";"Vergesslichkeit";"Vergisst, den Herd auszuschalten";"Smarter Rauchmelder";"Vergesslichkeit";"";"1117";"Hardware + Software";"Nein";"Herstellergebunden";"";"Aktiv"
"Rauchwarnmelder II";"Bosch";"Der Bosch Smart Home Funk-Rauchwarnmelder erfüllt nicht nur die Rauchmelderpflicht, sondern bietet zusätzliche Sicherheitsfunktionen. Bei Rauchentwicklung alarmiert er per Sirene und App, aktiviert smarte Schutzmaßnahmen wie beleuchtete Fluchtwege und freie Rollläden und kann in Kombination mit der Basisstation bei Einbruch als Alarmsirene genutzt werden. ";"51-100 €";"Nein";"";"Webshop";"2025-05-27";"Apple HomeKit";"Ja";"Batterien";"Verbaut/Montage erforderlich";"Nein";"Vergesslichkeit";"Vergisst, den Herd auszuschalten";"Smarter Rauchmelder";"Vergesslichkeit";"";"1118";"Hardware + Software";"Ja";"ZigBee";"";"Aktiv"
"Hombli Smart Smoke Detector";"hombli";"Der Hombli Smart Smoke Detector White alarmiert Sie bei Rauchentwicklung mit einem lauten 85 dB Signal und einer Benachrichtigung auf Ihrem Smartphone, egal wo Sie sich befinden. Über die Hombli App erhalten Sie sofortige Anweisungen und können den Notruf direkt wählen. Der Rauchmelder lässt sich leicht installieren, die Batterien halten 10 Jahre, und das Gerät überprüft sich wöchentlich selbstständig. Der Rauchmelder kann mit anderen Hombli Smart-Home-Produkten verbunden werden, um zusätzliche Sicherheitsmaßnahmen zu aktivieren.";"51-100 €";"Nein";"";"Webshop";"2025-05-27";"";"Ja";"Batterien";"Verbaut/Montage erforderlich";"Ja";"Vergesslichkeit";"Vergisst, den Herd auszuschalten";"Smarter Rauchmelder";"Vergesslichkeit";"";"1119";"Hardware + Software";"Nein";"WLAN,Herstellergebunden";"";"Aktiv"
"Emma hilft";"exthex GmbH / e-nnovation-smart solutations";"Der Emma Hilft Skill ist Teil des Emma Home Systems und ermöglicht es, verschiedene Unterstützungsmodule per Sprachsteuerung zu nutzen. Aktiviert wird der Skill mit dem Befehl „Alexa, starte Emma hilft“. Anschließend können unterschiedliche Aktionen ausgeführt werden, die den Alltag im Betreuungshaushalt erleichtern. Zur Benutzung ist die Emma Hilft Basis nötig.";"Auf Anfrage";"Nein";"";"Webshop";"2025-05-27";"Alexa";"Ja";"";"";"Nein";"Vergesslichkeit,Einsamkeit,Flüssigkeitsmangel";"Vergisst Termine oder neue Informationen";"Trinkerinnerung,Medikamenten-Management,Kommunikationsmittel,Kalender- und Erinnerungs-App";"Vergesslichkeit,Einsamkeit,Flüssigkeitsmangel";"";"1120";"Sprachassistent";"Ja";"WLAN";"";"Aktiv"
"Eurosmart Einhand-Waschtischbatterie, 1/2″ M-Size ";"Grohe";"Die Eurosmart Hybrid-Waschtischarmatur kombiniert Komfort mit praktischen Wassersparfunktionen und ist ideal für moderne Badezimmer. Diese L-große Armatur lässt sich sowohl berührungsfrei als auch manuell bedienen. Der Infrarotsensor ermöglicht die Steuerung von kaltem Wasser, während gemischtes Wasser manuell geregelt wird. Die Armatur spart Energie und Wasser durch einen integrierten Temperaturbegrenzer und GROHE EcoJoy Technologie. Dank langlebiger Materialien und einer robusten Chromoberfläche bleibt sie jahrelang glänzend und funktional. Eine Fernbedienung zur erweiterten Steuerung ist separat erhältlich.";"101-300 €";"Nein";"";"Webshop";"2025-05-27";"";"Nein";"Batterien";"Verbaut/Montage erforderlich";"Ja";"Vergesslichkeit";"Vergisst, das Wasser abzudrehen";"Automatischer Wasserhahn";"Vergesslichkeit";"";"1121";"Nur Hardware";"Nein";"";"";"Aktiv"
"Automatischer Sensor Wasserhahn Infrarot badarmaturen waschtischarmatur";"Auralium";"Dieser berührungslose Wasserhahn startet dank eines Infrarotsensors automatisch, ohne dass Sie die Armatur berühren müssen. Hergestellt aus rostfreiem Messing, überzeugt er durch sein elegantes Design und seine Langlebigkeit. Der Wasserhahn kann an Heiß- und Kaltwasser-Systeme angeschlossen werden, und die Wassertemperatur lässt sich einfach einstellen. Der Sensor hat eine Reichweite von ca. 15 cm. Der Wasserhahn wird mit 4 AA-Batterien betrieben (nicht im Lieferumfang enthalten).";"101-300 €";"Nein";"";"Webshop";"2025-05-27";"";"Nein";"Batterien";"Verbaut/Montage erforderlich";"Ja";"Vergesslichkeit";"Vergisst, das Wasser abzudrehen";"Automatischer Wasserhahn";"Vergesslichkeit";"";"1122";"Nur Hardware";"Nein";"";"";"Aktiv"
"Geberit Typ 186 Waschtischarmatur Netzbetrieb";"Geberit";"Die Geberit Typ 186 Waschtischarmatur ist eine berührungslose Infrarot-Armatur, ideal für öffentliche und private Sanitäranlagen wie Schulen, Krankenhäuser oder Restaurants. Sie spart Wasser und ist mit dem „Well Public Water Efficiency Label“ ausgezeichnet. Die Armatur ermöglicht die Voreinstellung von Temperatur und Wassermenge zwischen 1,9 und 3,8 l/min. ";"über 500 €";"Nein";"";"Webshop";"2025-05-27";"";"Nein";"Netzbetrieb";"Verbaut/Montage erforderlich";"Ja";"Vergesslichkeit";"Vergisst, das Wasser abzudrehen";"Automatischer Wasserhahn";"Vergesslichkeit";"";"1123";"Nur Hardware";"Nein";"";"";"Aktiv"
"area - GPS Tracker für Personen";"prothelis";"Area ist ein GPS-Tracker der sich unkompliziert an der Kleidung oder Taschen befestigen lässt. In Verbindung mit der Prothelis-App kann so ein widerfinden einer Person ermöglicht werden. Inaktivitätswarnung, GeoFences und Temperaturgrenzen sind Funktionen die den Benutzern für bis zu 30 Tage mit nur einer Akkuladung zur Verfügung stehen. ";"51-100 €";"Ja";"";"Webshop";"2025-05-27";"";"Ja";"Akku";"Beweglich";"Nein";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause";"Ortungssystem";"Stürzen,Sich verlaufen";"";"1124";"Hardware + Software";"Nein";"GMS/LTE";"";"Aktiv"
"GPS Track UniFix";"syscon Marthin healthcare GmbH";"Der GPS-Track UniFix ist ein unauffälliger GPS-Tracker, der speziell für die Ortung von Menschen mit Demenz entwickelt wurde. Er lässt sich sicher an der Kleidung befestigen und ermöglicht es, die Position des Trägers zu ermitteln, ohne dass dieser aktiv mitwirken muss. Dies bietet Angehörigen die Sicherheit, die betroffene Person bei Bedarf schnell wiederzufinden.";"301-500 €";"Ja";"";"Webshop";"2025-05-27";"";"Ja";"Akku";"Beweglich";"Ja";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause";"Ortungssystem";"Stürzen,Sich verlaufen";"";"1125";"Hardware + Software";"Nein";"GMS/LTE";"";"Aktiv"
"GPS-Track WatchPro";"syscon Marthin healthcare GmbH";"Die GPS-Track WatchPro ist eine GPS-Uhr für die Ortung von Menschen mit Demenz. Durch den speziellen Verschluss mit Magnetschlüssel kann sie nicht versehentlich abgenommen werden. Die Uhr sendet alle zwei Minuten ihre Position und geht in den Schlafmodus, wenn sie nicht bewegt wird. Die Ortung ist jederzeit über eine App auf iOS- oder Android-Geräten möglich.";"301-500 €";"Ja";"";"Webshop";"2025-05-27";"";"Ja";"Akku";"Beweglich";"Ja";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause";"Ortungssystem";"Stürzen,Sich verlaufen";"";"1126";"Hardware + Software";"Nein";"GMS/LTE";"";"Aktiv"
"SOS Notruf mit Falldetektor";"Falldetektor.de";"Der GPS Sturzmelder ist ein einfach zu bedienendes Gerät zur Ortung und Sturzerkennung, ideal für Kinder und ältere Menschen. Er bietet Funktionen wie SOS-Notruf, Zwei-Wege-Sprachkommunikation und GPS-Ortung. Mit seiner langen Akkulaufzeit und verschiedenen Energiesparmodi bleibt das Gerät flexibel einsetzbar und kann bis zu 30 Tage im Standby-Modus betrieben werden.";"101-300 €";"Ja";"";"Webshop";"2025-05-27";"";"Ja";"Akku";"Beweglich";"Ja";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause,Nach Sturz um Hilfe rufen";"Ortungssystem,Sturzmelder";"Stürzen,Sich verlaufen";"";"1127";"Nur Hardware";"Ja";"GMS/LTE";"";"Aktiv"
"caera";"microsynetics GmbH";"Das caera Notruf-Armband bietet bis zu drei Wochen Akkulaufzeit bei kurzer Ladezeit und verfügt über eine Sturzerkennung sowie europaweite GPS-Ortung und Navigation im Notfall. Es ermöglicht eine Zwei-Wege-Sprachverbindung und speichert wichtige Gesundheitsdaten in der zugehörigen App für Angehörige. Das wasserdichte Armband aus antiallergenem Material sorgt für hohen Tragekomfort und eine einfache Bedienung.";"101-300 €";"Ja";"";"Webshop";"2025-05-27";"";"Ja";"Akku";"Beweglich";"Nein";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause,Nach Sturz um Hilfe rufen";"Ortungssystem,Sturzmelder";"Stürzen,Sich verlaufen";"";"1128";"Hardware + Software";"Nein";"GMS/LTE";"";"Aktiv"
"Tunstall Vibby Funk Fall-Detektor";"Tunstall";"Der Tunstall Vibby ist ein Notrufsystem, das bei schweren Stürzen automatisch Alarme auslöst. Zusätzlich kann der Nutzer manuell Hilfe anfordern, indem er die Ruftaste betätigt. Das Gerät wird am Handgelenk getragen, kann aber auch als Kette verwendet werden. Es erkennt jedoch nicht alle Sturzarten, wie weiche Stürze oder Herabsinken, daher sollte bei Bedarf die Ruftaste genutzt werden.";"101-300 €";"Ja";"";"Webshop";"2025-05-27";"";"Nein";"Batterien";"Beweglich";"Nein";"Stürzen";"Nach Sturz um Hilfe rufen";"Sturzmelder";"Stürzen";"";"1129";"Nur Hardware";"Nein";"Herstellergebunden";"";"Aktiv"
"GPS Personentracker TE207S mit Ladestation";"TiProNet";"Der GPS-Tracker TE207S ermöglicht eine einfache Ortung von Personen per SMS und Google Maps. Bei Bedarf kann die Position auch regelmäßig über ein Online-Portal verfolgt werden. Das kompakte Gerät passt in jede Tasche und verfügt über eine SOS-Taste, mit der bis zu drei Kontaktpersonen benachrichtigt werden können. Ein Sturzsensor alarmiert bei Stürzen automatisch voreingestellte Nummern, der Alarm kann jedoch innerhalb von 10 Sekunden abgebrochen werden.";"101-300 €";"Ja";"";"Webshop";"2025-05-27";"";"Ja";"Akku";"Beweglich";"Nein";"Stürzen,Sich verlaufen";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause,Nach Sturz um Hilfe rufen";"Ortungssystem,Sturzmelder";"Stürzen,Sich verlaufen";"";"1130";"Nur Hardware";"Nein";"GMS/LTE";"";"Aktiv"
"Samsung Galaxy Watch 6";"Samsung Electronics Co., Ltd.";"Die Samsung Galaxy Watch 6 bietet eine Akkulaufzeit von bis zu 40 Stunden. Für einige Gesundheitsfunktionen ist allerdings ein Samsung-Smartphone erforderlich. Dabei verfügt die Samsung Galaxy Watch 6 über Sturz- und Ortungsfunktionen, einen elektrischen Herzsensor und einen optischen Pulssensor. ";"101-300 €";"Nein";"";"Webshop";"2025-05-26";"Smartlink Samsung";"Ja";"Akku";"Wearables";"Nein";"Stürzen,Sich verlaufen,Vergesslichkeit,Flüssigkeitsmangel";"Schwindelig, weil zu wenig getrunken,Vergißt (Blutdruck-) Medikamente,Findet nicht zurück nach Hause,Nach Sturz um Hilfe rufen,Vergisst, die Medikamente einzunehmen,Vergisst Termine / neue Informationen,Mangelnder Antrieb zu trinken";"Ortungssystem,Sturzmelder,Smartwatch";"Stürzen,Sich verlaufen,Vergesslichkeit,Flüssigkeitsmangel";"";"1083";"Hardware + Software";"Ja";"Bluetooth,WLAN";"";"Aktiv"
"Flood Sensor";"Fibaro";"Der kompakte Wassersensor erkennt zuverlässig Leckagen. Er kann unsichtbar unter Spülmaschinen oder Waschbecken platziert werden. Bei Wassereintritt sendet er Benachrichtigungen per SMS oder E-Mail. Zusätzlich überwacht der eingebaute Temperatursensor die Temperatur, um Gefahren durch gefrorene Rohre zu verhindern. Ein Sirenenalarm warnt die direkte Umgebung bei Wasserlecks.";"51-100 €";"Nein";"";"Webshop";"2025-05-27";"Apple Homekit, Z-Wave";"Ja";"Akku";"Einfach umrüstbar";"Nein";"Vergesslichkeit";"Vergisst, das Wasser abzudrehen";"Wassersensor";"Vergesslichkeit";"";"1132";"Hardware + Software";"Ja";"Bluetooth";"";"Aktiv"
"Drink Water Reminder";"recorder & smart apps";"Diese App berechnet an Hand von Gewicht, Geschlecht und Schlafenszeit einen täglichen Flüssigkeitsbedarf. Im Laufe des Tages erinnert die App daran zu trinken. Alles was getrunken wurde, wird in der App dokumentiert.";"Kostenlos";"Optional";"";"App-Stores";"2025-05-27";"";"Ja";"";"Beweglich";"Ja";"Vergesslichkeit,Flüssigkeitsmangel";"Schwindelig, weil zu wenig getrunken,Mangelnder Antrieb zu trinken";"Trinkerinnerung";"Vergesslichkeit,Flüssigkeitsmangel";"";"1133";"Nur App";"Ja";"";"";"Aktiv"
"Wassertracker - Trink Wasser";"QR & Barcode Scanner";"Diese App berechnet an Hand von Gewicht, Geschlecht und Schlafenszeit einen täglichen Flüssigkeitsbedarf. Im Laufe des Tages erinnert die App daran zu trinken. Alles was getrunken wurde, wird in der App dokumentiert.";"Kostenlos";"Optional";"";"App-Stores";"2025-05-27";"";"Ja";"";"Beweglich";"";"Vergesslichkeit,Flüssigkeitsmangel";"Schwindelig, weil zu wenig getrunken,Mangelnder Antrieb zu trinken";"Trinkerinnerung";"Vergesslichkeit,Flüssigkeitsmangel";"";"1134";"Nur App";"Ja";"";"";"Aktiv"
"WaterMinder - Wassertracker";"Funn Media";"Die App hilft die tägliche Wasseraufnahme zu überwachen und sicherzustellen, dass du ausreichend hydratisiert bleibst. Sie berechnet das persönliche Trinkziel basierend auf deinem Gewicht, deiner Aktivität und den Wetterbedingungen. Die App bietet visuelle Darstellungen und prozentuale Angaben deines ""Wasserstands"", damit du jederzeit siehst, wie gut du hydratisiert bist. Zusätzlich erinnert sie dich regelmäßig daran, Wasser zu trinken, und belohnt dich, wenn du deine Ziele erreichst.";"Kostenlos";"Optional";"";"App-Stores";"2025-05-27";"";"Ja";"";"Beweglich";"Nein";"Vergesslichkeit,Flüssigkeitsmangel";"Schwindelig, weil zu wenig getrunken,Mangelnder Antrieb zu trinken";"Trinkerinnerung";"Vergesslichkeit,Flüssigkeitsmangel";"";"1135";"Nur App";"Ja";"";"";"Aktiv"
"Rewe Online Supermarkt";"Rewe Markt GmbH";"Mit der REWE App kann der Einkauf online getätigt werden. Die Bestellung wird per App aufgegeben und dann zu einem gewünschten Lieferfenster nachhause geliefert. Das Liefergebiet variiert je nach Postleitzahlengebiet.";"Kostenlos";"";"";"App-Stores";"2025-05-27";"";"Ja";"";"Beweglich";"";"Flüssigkeitsmangel";"Getränkeversorgung ist schwierig";"Getränkeliefer-Apps";"Flüssigkeitsmangel";"";"1136";"Nur App";"Ja";"";"";"Aktiv"
"Fibaro Rauchmelder Z-Wave Plus";"Fibaro";"Der Fibaro Rauchmelder bietet erhöhte Sicherheit durch die Erkennung von Schwelbränden und Flammen. Er verfügt über eine Sirene und eine Lichtanzeige, die im Notfall aktiviert werden. Der Melder kann in bestehende Systeme integriert werden und sendet bei Alarm eine Nachricht ans Smartphone. Seine Sensorempfindlichkeit lässt sich anpassen, und er speichert Daten zur Brandanalyse.";"1-50 €";"Nein";"";"Webshop";"2025-05-27";"Z-Wave; Alexa";"Ja";"Batterien";"Einfach umrüstbar";"Nein";"Vergesslichkeit";"Vergisst, den Herd auszuschalten";"Smarter Rauchmelder";"Vergesslichkeit";"";"1137";"Hardware + Software";"Ja";"Herstellergebunden";"";"Aktiv"
"Any.do - Aufgaben + Kalender";"Any.do To-do list & Calendar";"Die App ermöglicht es Aufgaben und Termine mit Erinnerungen zu kombinieren. Die Elemente können synchronisiert werden. So können auch Angehörige Erinnerungen anlegen.";"Kostenlos";"Optional";"";"App-Stores";"2025-05-27";"";"Ja";"";"Beweglich";"Nein";"Vergesslichkeit";"Vergisst Termine oder neue Informationen";"Kalender- und Erinnerungs-App";"Vergesslichkeit";"";"1138";"Nur App";"Ja";"";"";"Aktiv"
"TickTick-Aufgabenlisten";"TickTick Limited";"Die App ermöglicht es Termine, Aufgaben und Erinnerungen anzulegen. Diese werden synchronisiert, dadurch können auch Angehörige Erinnerungen anlegen.";"Kostenlos";"Optional";"";"App-Stores";"2025-05-27";"";"Ja";"";"Beweglich";"";"Vergesslichkeit";"Vergisst Termine oder neue Informationen";"Kalender- und Erinnerungs-App";"Vergesslichkeit";"";"1139";"Nur App";"Ja";"";"";"Aktiv"
"Pflege- & Familienplaner";"clearTime Care";"ClearTime Care kombiniert Kalender, Kontakte und Fotoalben. Familienmitglieder können untereinander kommunizieren, Kalender freigeben und im Kontakt bleiben. Die App kann auf allen Android Geräten genutzt werden. ";"Kostenlos";"Ja";"";"App-Stores";"2025-05-27";"";"Ja";"";"Beweglich";"";"Vergesslichkeit,Einsamkeit";"Vergisst Termine oder neue Informationen,Fühlt sich einsam,Lebt allein und hat wenig Kontakte";"Kommunikationsmittel,Kalender- und Erinnerungs-App";"Vergesslichkeit,Einsamkeit";"";"1141";"Nur App";"Ja";"";"";"Aktiv"
"Badring";"IKEA Deutschland GmbH & Co. KG";"Der Sensor kann überall platziert werden, wo mit einem potenziellen Wasserschaden zu rechnen ist. Das Gerät wird per Batterie betrieben und kann optional mit dem Dirigera Hub gekoppelt werden. Über diesen sind auch Benachrichtigungen ans Handy möglich. Das Gerät selbst kann auch über einen eingebauten Lautsprecher warnen. ";"1-50 €";"Nein";"";"Webshop";"2025-05-27";"";"Nein";"Batterien";"Einfach umrüstbar";"Ja";"Vergesslichkeit";"Vergisst, das Wasser abzudrehen";"Wassersensor";"Vergesslichkeit";"";"1142";"Hardware + Software";"Ja";"Herstellergebunden";"";"Aktiv"
"Smart WLAN kompakter Wassermelder";"Siro";"Der SIRO Smart Wassermelder warnt frühzeitig bei Wasseraustritt, um Schäden zu minimieren. Er gibt ein akustisches Signal und sendet eine Alarmmeldung an das Smartphone. Dank der WLAN-Verbindung ist kein zusätzliches Gateway nötig. Über die ""Smart Life"" App wird der Wassermelder eingerichtet und kontrolliert. So bleibt der Batteriestand und die Funktion stets im Blick.";"1-50 €";"Nein";"";"Webshop";"2025-05-27";"";"Ja";"Akku";"Einfach umrüstbar";"Ja";"Vergesslichkeit";"Vergisst, das Wasser abzudrehen";"Wassersensor";"Vergesslichkeit";"";"1143";"Nur Hardware";"Nein";"WLAN";"";"Aktiv"
"Apple Watch 10";"Apple";"Die Apple Watch Series 10 verfügt über Sensoren zur Unfallerkennung und Körpertemperaturanalyse. Mit dem neuen watchOS Betriebssystem lernt sie softwareseitig dazu. Bei einem schweren Sturz während des Tragens gibt sie Alarm und meldet den Vorfall. Bei Bedarf kann auch der Standort über die Apple Watch ermittelt werden. Zum Betrieb ist ein zusätzliches IPhone erforderlich.";"301-500 €";"Nein";"";"Webshop";"2025-05-27";"Apple Homekit";"Ja";"Akku";"Wearables";"Nein";"Stürzen,Sich verlaufen,Vergesslichkeit,Flüssigkeitsmangel";"Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause,Nach Sturz um Hilfe rufen,Vergisst Termine oder neue Informationen,Vergisst, die Medikamente einzunehmen,Vergisst Termine / neue Informationen,Mangelnder Antrieb zu trinken";"Trinkerinnerung,Kommunikationsmittel,Lichtsteuerung,Ortungssystem,Sturzmelder,Smartwatch";"Stürzen,Sich verlaufen,Vergesslichkeit,Flüssigkeitsmangel";"";"1144";"Hardware + Software";"Ja";"Bluetooth,WLAN,GMS/LTE";"";"Aktiv"
"Apple Watch Ultra 2";"Apple Inc";"Die neueste Apple Watch setzt laut Hersteller Maßstäbe in Robustheit und Leistung. Sturz- und Unfallerkennung, eine Sirene, die Erkennung von Herzrhythmusstörungen sowie Wasserdichtigkeit sind nur einige der Eigenschaften. Zur Nutzung ist die Vernetzung mit einem IPhone erforderlich.";"über 500 €";"Nein";"";"Webshop";"2025-05-27";"";"Ja";"Akku";"Wearables";"Nein";"Stürzen,Sich verlaufen,Vergesslichkeit,Flüssigkeitsmangel";"Schwindelig, weil zu wenig getrunken,Verlässt unbemerkt die Wohnung,Findet nicht zurück nach Hause,Nach Sturz um Hilfe rufen,Vergisst Termine oder neue Informationen,Vergisst, die Medikamente einzunehmen,Vergisst Termine / neue Informationen,Mangelnder Antrieb zu trinken";"Trinkerinnerung,Kommunikationsmittel,Lichtsteuerung,Ortungssystem,Sturzmelder,Smartwatch,Kalender- und Erinnerungs-App";"Stürzen,Sich verlaufen,Vergesslichkeit,Flüssigkeitsmangel";"";"1145";"Hardware + Software";"Ja";"Bluetooth,WLAN,GMS/LTE";"";"Aktiv"
"Kissen Viktor";"Altwasser Bélujon Consulting & Coaching GmbH";"Die Viktor Box wird per Kabel oder W-LAN mit dem Internet verbunden. Eine Webcam wird per USB angeschlossen und am TV befestigt. Über eine App können Familienmitglieder nun Fotos, Videos und Streaming-Links hochladen, die der Benutzer am TV abrufen kann. Videoanrufe ermöglichen direkte Kommunikation und digitale Inhalte sind über Bildschirmmenüs zugänglich.";"51-100 €";"Ja";"";"Webshop";"2025-05-27";"Viktor-App für Angehörige";"Nein";"Netzbetrieb plus Batterie";"Einfach umrüstbar";"Nein";"Sich verlaufen,Vergesslichkeit,Einsamkeit";"Fehlende Beschäftigung,Vergisst Termine / neue Informationen,Fühlt sich einsam,Lebt allein und hat wenig Kontakte";"Beschäftigungshilfe,Kommunikationsmittel,Smart Home / Assistenzsystem";"Sich verlaufen,Vergesslichkeit,Einsamkeit";"ZEKI";"1146";"Hardware + Software";"Ja";"Bluetooth,WLAN";"";"Aktiv"
"CARU care";"CARU AG";"CARU care ist ein digitales Assistenzsystem mit Gesundheitsdienstleistungen wie Hausnotruf, Trinkerinnerung und Raumluftmessung für mehr Sicherheit Zuhause und mehr Selbstbestimmtheit. Zur kleinen Basisstation gehört ein Handsender (Notrufknopf). Der Funksender im Notrufknopf enthält einen Sturzsensor, der automatisch einen Sturz erkennt. Ein Notruf kann außerdem ausgelöst werden per Sprache, per Handsender oder durch Berührung des Deckels der Basisstation.  Es gibt drei mögliche Abopakete. Die Kosten für die SIM-Karte sind in den Abogebühren enthalten.";"über 500 €";"Ja";"Pflegehilfsmittelkatalog-Nr.: 52.40.01.1116";"Hersteller-Website";"2025-05-27";"";"Nein";"Netzbetrieb";"Beweglich";"Nein";"Stürzen,Vergesslichkeit,Flüssigkeitsmangel";"Schwindelig, weil zu wenig getrunken,Nach Sturz um Hilfe rufen,Mangelnder Antrieb zu trinken";"Trinkerinnerung,Sturzmelder";"Stürzen,Vergesslichkeit,Flüssigkeitsmangel";"";"1147";"Hardware + Software";"Nein";"GSM/LTE";"";"Aktiv"
"G-Guard";"PIKK-Systems GmbH";"Der G-Guard ist ein Assistenzsystem zur Erkennung von Stürzen und Inaktivität sowie zur Messung des Raumklimas. Ein integriertes Orientierungslicht sorgt bei Bewegung im Dunkeln für mehr Sicherheit. Zur Gefahrenerkennung wird über Infrarotsensoren die Körperwärme, die vom Menschen ausgeht gemessen. Notrufalarmierungen sind frei wählbar über Email, SMS oder Sprachanrufe.";"Auf Anfrage";"";"";"Hersteller-Website";"2025-05-27";"MQTT, Loxone";"Nein";"";"Verbaut/Montage erforderlich";"Nein";"Stürzen";"Sieht Hindernisse nicht gut,Nach Sturz um Hilfe rufen";"Sturzmelder";"Stürzen";"";"1148";"Hardware + Software";"Ja";"WLAN,GSM/LTE";"";"Aktiv"
"Telemarie";"Telemarie";"Telemarie ist ein einfaches Senioren-Tablet, welches robust und griffsicher gestaltet ist. Es sind keine technischen Vorkenntnisse oder Erfahrungen mit dem Internet notwendig. Mit der Telemarie kann niederschwellig mit der Familie Kontakt gehalten werden über Videotelefonie und das Teilen von Fotos und Videos. Das Gerät läuft über Akku und wird zum Aufladen in die mitgelieferte Ladestation gesteckt. Das Gerät kann wahlweise über SIM-Karte oder WLAN genutzt werden.";"Auf Anfrage";"Ja";"";"Hersteller-Website";"2025-05-27";"";"Nein";"Akku";"Beweglich";"Ja";"Sich verlaufen,Einsamkeit";"Fehlende Beschäftigung,Fühlt sich einsam,Lebt allein und hat wenig Kontakte";"Beschäftigungshilfe,Kommunikationsmittel";"Sich verlaufen,Einsamkeit";"ZEKI";"1149";"Hardware + Software";"Ja";"WLAN,GMS/LTE";"";"Aktiv"
"ellio";"pironex";"Der Inaktivitätsmelder ellio bietet Sicherheit für alleinlebende Senior:innen, ohne dass ein Notrufarmband getragen werden muss. Er erkennt ungewöhnliche Inaktivität in der Wohnung und informiert die Familie per Nachricht. So kann im Notfall schnell Hilfe organisiert werden, um eigenständiges Wohnen länger zu ermöglichen.";"301-500 €";"Nein";"";"Hersteller-Website";"2025-05-27";"";"Ja";"Netzbetrieb";"Verbaut/Montage erforderlich";"Ja";"Stürzen,Sich verlaufen";"Findet nicht zurück nach Hause,Nach Sturz um Hilfe rufen,Lebt allein und hat wenig Kontakte";"Lichtsteuerung,Weglaufschutz,Sturzmelder,Smart Home / Assistenzsystem";"Stürzen,Sich verlaufen";"";"1151";"Hardware + Software";"Ja";"WLAN,GMS/LTE";"";"Aktiv"
"Pixel Watch 3";"Google";"Die runde Uhr hat einen Durchmesser von 41 mm und ist mit einem Quad-Core-Prozessor mit 2 GB RAM ausgestattet. Der Speicher beträgt 32 GB. Zur Ausstattung gehören ein Sauerstoffsättigungsmesser, ein optischer Herzfrequenzsensor und Navigationsdienste. WLAN b/g/n, Bluetooth 5.0, NFC sowie LTE sind verfügbar. Die Uhr erkennt Stürze und kann den Standort übermitteln.";"301-500 €";"Nein";"";"Hersteller-Website";"2025-05-27";"";"Ja";"Akku";"Einfach umrüstbar";"Nein";"Stürzen,Sich verlaufen,Vergesslichkeit";"Schwindelig, weil zu wenig getrunken,Findet nicht zurück nach Hause,Nach Sturz um Hilfe rufen,Vergisst, die Medikamente einzunehmen,Vergisst Termine / neue Informationen,Lebt allein und hat wenig Kontakte";"Trinkerinnerung,Kommunikationsmittel,Ortungssystem,Sturzmelder,Smartwatch";"Stürzen,Sich verlaufen,Vergesslichkeit";"";"1152";"Hardware + Software";"Ja";"Bluetooth,WLAN,GSM/LTE";"";"Aktiv"
